what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1301251638855
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1301251638857
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1301251638858
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1301251638859
started,bundle,oracle.eclipse.tools.common,3.1.1.201010012100,"oracle.eclipse.tools.common",1301251638860
started,bundle,oracle.eclipse.tools.common.ui,3.1.1.201010012100,"oracle.eclipse.tools.common.ui",1301251638861
started,bundle,oracle.eclipse.tools.common.upgrade,3.1.1.201010012100,"oracle.eclipse.tools.common.upgrade",1301251638861
started,bundle,oracle.eclipse.tools.envcheck,3.1.1.201010012100,"oracle.eclipse.tools.envcheck",1301251638862
started,bundle,oracle.eclipse.tools.sapphire.modeling,3.1.1.201010012100,"oracle.eclipse.tools.sapphire.modeling",1301251638862
started,bundle,oracle.eclipse.tools.weblogic,3.1.0.201007221419,"oracle.eclipse.tools.weblogic",1301251638862
started,bundle,oracle.eclipse.tools.weblogic.ui,3.1.0.201007221419,"oracle.eclipse.tools.weblogic.ui",1301251638862
started,bundle,oracle.eclipse.tools.xmlbeans,3.1.0.201007221419,"oracle.eclipse.tools.xmlbeans",1301251638862
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1301251638862
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1301251638863
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1301251638863
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1301251638864
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1301251638864
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824-p001,"org.eclipse.core.jobs",1301251638865
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1301251638865
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1301251638866
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1301251638866
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1301251638867
