what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1301251669846
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.ui.mbeans",1301251669847
stopped,bundle,org.jboss.ide.eclipse.as.rse.ui,0.9.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.rse.ui",1301251669847
stopped,bundle,org.jboss.ide.eclipse.as.rse.core,0.9.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.rse.core",1301251669847
stopped,bundle,org.jboss.ide.eclipse.as.ssh,2.2.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.ssh",1301251669848
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.2.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.archives.webtools",1301251669848
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.2.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.wtp.ui",1301251669848
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.jdt.apt.ui",1301251669849
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.jdt.ui",1301251669849
stopped,bundle,org.hibernate.eclipse.mapper,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.mapper",1301251669849
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.jpt.core",1301251669850
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.ui",1301251669850
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.console",1301251669850
